iter	RMSE
0	0.9979062008
1	0.9975757271
2	0.9972921584
3	0.9969605253
4	0.9967047962
5	0.9964910806
6	0.9962998931
7	0.9961257935
8	0.9959610404
9	0.9958060533
10	0.9956785113
11	0.9955119611
12	0.995367659
13	0.9952381138
14	0.9951376321
15	0.9950157509
16	0.9949066262
17	0.9947824495
18	0.9946532114
19	0.994545548
20	0.9944466254
21	0.9943732177
22	0.9942632876
23	0.9941727403
24	0.9940958613
25	0.9940135436
26	0.9939237726
27	0.9938215918
28	0.9937523893
29	0.9936627544
30	0.9935795057
31	0.9934991916
32	0.9933973189
33	0.9933287904
34	0.9932390853
35	0.9931728487
36	0.9931061279
37	0.993015731
38	0.9929307645
39	0.9928623637
40	0.992787207
41	0.9927141885
42	0.9926374205
43	0.9925500853
44	0.9924980454
45	0.9924526282
46	0.9923755839
47	0.9923030153
48	0.9922443036
49	0.992167147
50	0.992104553
51	0.9920459896
52	0.9919613563
53	0.9918985571
54	0.9918215659
55	0.9917718579
56	0.9916908208
57	0.9916325533
58	0.9915630698
59	0.9915103373
60	0.991455167
61	0.9913961167
62	0.9913301094
63	0.991268488
64	0.991209074
65	0.9911716419
66	0.9911289524
67	0.9910904917
68	0.9910234383
69	0.990994654
70	0.9909347748
71	0.9908807266
72	0.9908423524
