iter	Passed	Remaining
0	26	26373
1	39	19512
2	52	17495
3	66	16577
4	78	15704
5	92	15241
6	104	14769
7	117	14577
8	129	14249
9	142	14064
10	155	14006
11	169	13962
12	183	13901
13	197	13914
14	210	13849
15	222	13707
16	233	13492
17	249	13586
18	263	13628
19	279	13675
20	294	13737
21	307	13665
22	323	13742
23	335	13628
24	348	13592
25	361	13550
26	372	13429
27	384	13337
28	395	13242
29	407	13189
30	420	13148
31	432	13087
32	444	13025
33	456	12979
34	469	12936
35	480	12872
36	492	12814
37	503	12749
38	515	12697
39	529	12710
40	541	12662
41	553	12614
42	566	12598
43	577	12551
44	590	12531
45	600	12464
46	613	12435
47	624	12389
48	636	12360
49	650	12363
50	663	12337
51	675	12311
52	688	12310
53	700	12275
54	711	12232
55	722	12172
56	733	12135
57	745	12103
58	757	12080
59	767	12026
60	780	12013
61	794	12024
62	807	12004
63	818	11970
64	830	11950
65	843	11934
66	854	11897
67	866	11878
68	879	11861
69	890	11824
70	900	11782
71	911	11747
72	921	11707
